No,Arab,Buckwalter,Awalan,Akhiran,Pola,Root,Wazan,Dhomir,Fiil,Pola Wazan,Keterangan
75,تُرْجَعُونَ,turojaEuwna,,ونَ,|uoa|wna,trj,null,null,null,au,passive
76,ٱبْعَثْ,{boEavo,,,|bEv|,{oa,null,null,null,au,tidak passive
77,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
78,هَزَمُ,hazamu,,,|aau|,hzm,null,null,null,au,passive
79,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
80,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
81,نَجْعَلَ,najoEala,نَ,,na|oaa|,jEl,null,null,null,au,passive
82,ٱجْعَلْ,{joEalo,,,|jEl|,{oa,null,null,null,au,tidak passive
83,ٱعْلَمْ,{Eolamo,,,|Elm|,{oa,null,null,null,au,tidak passive
84,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
85,نَذَرْ,na*aro,,,|aao|,n*r,null,null,null,au,passive
86,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
87,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
88,تُرْجَعُونَ,turojaEuwna,,ونَ,|uoa|wna,trj,null,null,null,au,passive
89,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
90,ٱكْتُبُ,{kotubu,,,|ktb|,{ou,null,null,null,au,tidak passive
91,يَكْتُب,yakotub,يَ,,ya|null|,null,null,null,null,au,tidak passive
92,يَكْتُمْ,yakotumo,,تُمْ,|null|tumo,null,null,null,null,au,tidak passive
93,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
94,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
95,تُغْلَبُونَ,tugolabuwna,,ونَ,|uoa|wna,tgl,null,null,null,au,passive
96,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
97,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
98,جَمَعْ,jamaEo,,,|aao|,jmE,null,null,null,au,passive
99,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
100,تَنزِعُ,tanziEu,تَ,,ta|null|,null,null,null,null,au,tidak passive
101,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
102,ٱذْكُر,{*okur,,,|*kr|,{ou,null,null,null,au,tidak passive
103,ٱسْجُدِ,{sojudi,,,|sjd|,{ou,null,null,null,au,tidak passive
104,أَنفُخُ,>anfuxu,أَ,,>a|null|,null,null,null,null,au,tidak passive
105,ٱعْبُدُ,{Eobudu,,,|Ebd|,{ou,null,null,null,au,tidak passive
106,ٱشْهَدْ,{$ohado,,,|$hd|,{oa,null,null,null,au,tidak passive
107,ٱكْتُبْنَا,{kotubonaA,,نَا,|ktb|naA,{ou,null,null,null,au,tidak passive
108,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
109,نَجْعَل,najoEal,نَ,,na|null|,null,null,null,null,au,tidak passive
110,نَعْبُدَ,naEobuda,نَ,,na|oua|,Ebd,null,null,null,au,passive
111,ٱشْهَدُوا@,{$ohaduwA@,,وا@,|$hd|wA@,{oa,null,null,null,au,tidak passive
112,ٱكْفُرُ,{kofuru,,,|kfr|,{ou,null,null,null,au,tidak passive
113,تَنصُرُ,tanSuru,تَ,,ta|null|,null,null,null,null,au,tidak passive
114,ٱشْهَدُوا@,{$ohaduwA@,,وا@,|$hd|wA@,{oa,null,null,null,au,tidak passive
115,يُرْجَعُونَ,yurojaEuwna,,ونَ,|uoa|wna,yrj,null,null,null,au,passive
116,شَهِدُ,$ahidu,,,|aiu|,$hd,null,null,null,au,passive
117,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
118,كَفَرْ,kafaro,,,|aao|,kfr,null,null,null,au,passive
119,تُرْجَعُ,turojaEu,,,|uoa|,trj,null,null,null,au,passive
120,يُنصَرُونَ,yunSaruwna,,ونَ,|uSr|wna,yna,null,null,null,au,passive
121,ثُقِفُ,vuqifu,,,|uiu|,vqf,null,null,null,au,passive
122,يُكْفَرُ,yukofaru,,,|uoa|,ykf,null,null,null,au,passive
123,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
124,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
125,يَكْبِتَ,yakobita,,تَ,|aoi|ta,ykb,null,null,null,au,passive
126,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
127,نِعْمَ,niEoma,,,|ioa|,nEm,null,null,null,au,passive
128,يَعْلَمِ,yaEolami,يَ,,ya|oai|,Elm,null,null,null,au,passive
129,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
130,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
131,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
132,يَنصُرْ,yanSuro,يَ,,ya|null|,null,null,null,null,au,tidak passive
133,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
134,ٱدْفَعُوا@,{dofaEuwA@,,وا@,|dfE|wA@,{oa,null,null,null,au,tidak passive
135,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
136,يُرْزَقُونَ,yurozaquwna,,ونَ,|uoa|wna,yrz,null,null,null,au,passive
137,نِعْمَ,niEoma,,,|ioa|,nEm,null,null,null,au,passive
138,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
139,قَتَلْ,qatalo,,,|aao|,qtl,null,null,null,au,passive
140,نَبَذُ,naba*u,,,|aau|,nb*,null,null,null,au,passive
141,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
142,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
143,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
144,ٱصْبِرُوا@,{SobiruwA@,,وا@,|Sbr|wA@,{oi,null,null,null,au,tidak passive
145,ٱنكِحُوا@,{nkiHuwA@,,وا@,|niu|wA@,{kH,null,null,null,au,tidak passive
146,ٱرْزُقُ,{rozuqu,,,|rzq|,{ou,null,null,null,au,tidak passive
147,ٱدْفَعُ,{dofaEu,,,|dfE|,{oa,null,null,null,au,tidak passive
148,ٱرْزُقُ,{rozuqu,,,|rzq|,{ou,null,null,null,au,tidak passive
149,تَرَكُوا@,tarakuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
150,تَرَكْتُمْ,tarakotumo,تَ,تُمْ,ta|null|tumo,null,null,null,null,au,tidak passive
151,تَرَكْ,tarako,,,|aao|,trk,null,null,null,au,passive
152,كَرِهْ,kariho,,,|aio|,krh,null,null,null,au,passive
153,تَنكِحُوا@,tankiHuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
154,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
155,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
156,ٱنكِحُ,{nkiHu,,,|niu|,{kH,null,null,null,au,tidak passive
157,ٱضْرِبُ,{Doribu,,,|Drb|,{oi,null,null,null,au,tidak passive
158,ٱبْعَثُوا@,{boEavuwA@,,وا@,|bEv|wA@,{oa,null,null,null,au,tidak passive
159,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
160,لَٰمَسْ,la`maso,,,|ams|,l`a,null,null,null,au,passive
161,ٱسْمَعْ,{somaEo,,,|smE|,{oa,null,null,null,au,tidak passive
162,ٱسْمَعْ,{somaEo,,,|smE|,{oa,null,null,null,au,tidak passive
163,نَلْعَنَ,naloEana,,نَ,|null|na,null,null,null,null,au,tidak passive
164,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
165,يَلْعَنِ,yaloEani,يَ,,ya|oai|,lEn,null,null,null,au,passive
166,حَكَمْ,Hakamo,,,|aao|,Hkm,null,null,null,au,passive
167,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
168,ٱخْرُجُوا@,{xorujuwA@,,وا@,|xrj|wA@,{ou,null,null,null,au,tidak passive
169,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
170,ٱنفِرُوا@,{nfiruwA@,,وا@,|niu|wA@,{fr,null,null,null,au,tidak passive
171,ٱنفِرُوا@,{nfiruwA@,,وا@,|niu|wA@,{fr,null,null,null,au,tidak passive
172,يُقْتَلْ,yuqotalo,,,|uoa|,yqt,null,null,null,au,passive
173,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
174,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
175,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
176,كَسَبُ,kasabu,,,|aau|,ksb,null,null,null,au,passive
177,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
178,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
179,ثَقِفْ,vaqifo,,,|aio|,vqf,null,null,null,au,passive
180,يَفْتِنَ,yafotina,,نَ,|aoi|na,yft,null,null,null,au,passive
181,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
182,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
183,تَحْكُمَ,taHokuma,تَ,,ta|oua|,Hkm,null,null,null,au,passive
184,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
185,تَنكِحُ,tankiHu,تَ,,ta|null|,null,null,null,null,au,tidak passive
186,يُكْفَرُ,yukofaru,,,|uoa|,ykf,null,null,null,au,passive
187,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
188,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
189,صَلَبُ,Salabu,,,|aau|,Slb,null,null,null,au,passive
190,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
191,قَصَصْ,qaSaSo,,,|aao|,qSS,null,null,null,au,passive
192,نَقْصُصْ,naqoSuSo,نَ,,na|ouo|,qSS,null,null,null,au,passive
193,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
194,لَٰمَسْ,la`maso,,,|ams|,l`a,null,null,null,au,passive
195,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
196,ٱعْدِلُوا@,{EodiluwA@,,وا@,|Edl|wA@,{oi,null,null,null,au,tidak passive
197,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
198,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
199,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
200,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
201,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
202,ٱذْهَبْ,{*ohabo,,,|*hb|,{oa,null,null,null,au,tidak passive
203,ٱفْرُقْ,{foruqo,,,|frq|,{ou,null,null,null,au,tidak passive
204,أَقْتُلَ,>aqotula,أَ,,>a|oua|,qtl,null,null,null,au,passive
205,تَقْتُلَ,taqotula,تَ,,ta|oua|,qtl,null,null,null,au,passive
206,أَقْتُلَ,>aqotula,أَ,,>a|oua|,qtl,null,null,null,au,passive
207,أُوَٰرِىَ,>uwa`riYa,,,|uar|,>w`,null,null,null,au,passive
208,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
209,ٱقْطَعُ,{qoTaEu,,,|qTE|,{oa,null,null,null,au,tidak passive
210,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
211,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
212,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
213,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
214,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
215,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
216,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
217,ٱعْلَمْ,{Eolamo,,,|Elm|,{oa,null,null,null,au,tidak passive
218,تَنقِمُونَ,tanqimuwna,تَ,ونَ,ta|null|wna,null,null,null,null,au,tidak passive
219,حَسِبُ,Hasibu,,,|aiu|,Hsb,null,null,null,au,passive
220,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
221,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
222,ٱكْتُبْنَا,{kotubonaA,,نَا,|ktb|naA,{ou,null,null,null,au,tidak passive
223,ٱحْفَظُ,{HofaZu,,,|HfZ|,{oa,null,null,null,au,tidak passive
224,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
225,طَعِمُ,TaEimu,,,|aiu|,TEm,null,null,null,au,passive
226,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
227,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
228,ٱسْمَعُوا@,{somaEuwA@,,وا@,|smE|wA@,{oa,null,null,null,au,tidak passive
229,ٱذْكُرْ,{*okuro,,,|*kr|,{ou,null,null,null,au,tidak passive
230,تَنفُخُ,tanfuxu,تَ,,ta|null|,null,null,null,null,au,tidak passive
231,ٱشْهَدْ,{$ohado,,,|$hd|,{oa,null,null,null,au,tidak passive
232,نَعْلَمَ,naEolama,نَ,,na|oaa|,Elm,null,null,null,au,passive
233,ٱرْزُقْنَا,{rozuqonaA,,نَا,|rzq|naA,{ou,null,null,null,au,tidak passive
234,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
235,لَمَسُ,lamasu,,,|aau|,lms,null,null,null,au,passive
236,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
237,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
238,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
239,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
240,يُصْرَفْ,yuSorafo,,,|uoa|,ySr,null,null,null,au,passive
241,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
242,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
243,يُرْجَعُونَ,yurojaEuwna,,ونَ,|uoa|wna,yrj,null,null,null,au,passive
244,يُحْشَرُونَ,yuHo$aruwna,,ونَ,|uoa|wna,yH$,null,null,null,au,passive
245,يُحْشَرُ,yuHo$aru,,,|uoa|,yH$,null,null,null,au,passive
246,تَطْرُدِ,taTorudi,تَ,,ta|oui|,Trd,null,null,null,au,passive
247,تَطْرُدَ,taToruda,تَ,,ta|oua|,Trd,null,null,null,au,passive
248,أَعْبُدَ,>aEobuda,أَ,,>a|oua|,Ebd,null,null,null,au,passive
249,جَرَحْ,jaraHo,,,|aao|,jrH,null,null,null,au,passive
250,يَنْفَعُنَا,yanofaEunaA,يَ,نَا,ya|oau|naA,nfE,null,null,null,au,passive
251,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
252,يُنفَخُ,yunfaxu,,,|ufx|,yna,null,null,null,au,passive
253,خَلَقْ,xalaqo,,,|aao|,xlq,null,null,null,au,passive
254,تَرَكْ,tarako,,,|aao|,trk,null,null,null,au,passive
255,ٱعْبُدُ,{Eobudu,,,|Ebd|,{ou,null,null,null,au,tidak passive
256,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
257,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
258,يُذْكَرِ,yu*okari,,,|uoa|,y*k,null,null,null,au,passive
259,بَلَغْ,balago,,,|aao|,blg,null,null,null,au,passive
260,ٱعْمَلُوا@,{EomaluwA@,,وا@,|Eml|wA@,{oa,null,null,null,au,tidak passive
261,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
262,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
263,هُمَا^,humaA^,,,|ua^|,hmA,null,null,null,au,passive
264,ٱعْدِلُوا@,{EodiluwA@,,وا@,|Edl|wA@,{oi,null,null,null,au,tidak passive
265,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
266,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
267,خَلَقْ,xalaqo,,,|aao|,xlq,null,null,null,au,passive
268,ٱسْجُدُوا@,{sojuduwA@,,وا@,|sjd|wA@,{ou,null,null,null,au,tidak passive
269,سَجَدُ,sajadu,,,|aau|,sjd,null,null,null,au,passive
270,تَسْجُدَ,tasojuda,تَ,,ta|oua|,sjd,null,null,null,au,passive
271,ٱخْرُجْ,{xorujo,,,|xrj|,{ou,null,null,null,au,tidak passive
272,يُبْعَثُونَ,yuboEavuwna,,ونَ,|uoa|wna,ybE,null,null,null,au,passive
273,أَقْعُدَ,>aqoEuda,أَ,,>a|oua|,qEd,null,null,null,au,passive
274,ٱخْرُجْ,{xorujo,,,|xrj|,{ou,null,null,null,au,tidak passive
275,ٱسْكُنْ,{sokuno,,,|skn|,{ou,null,null,null,au,tidak passive
276,ظَلَمْ,Zalamo,,,|aao|,Zlm,null,null,null,au,passive
277,يُوَٰرِى,yuwa`riY,,,|uar|,yw`,null,null,null,au,passive
278,يَفْتِنَ,yafotina,,نَ,|aoi|na,yft,null,null,null,au,passive
279,ٱشْرَبُوا@,{$orabuwA@,,وا@,|$rb|wA@,{oa,null,null,null,au,tidak passive
280,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
281,تَجْعَلْنَا,tajoEalonaA,تَ,نَا,ta|oao|naA,jEl,null,null,null,au,passive
282,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
283,نَعْمَلَ,naEomala,نَ,,na|oaa|,Eml,null,null,null,au,passive
284,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
285,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
286,أَنصَحُ,>anSaHu,أَ,,>a|null|,null,null,null,null,au,tidak passive
287,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
288,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
289,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
290,نَعْبُدَ,naEobuda,نَ,,na|oua|,Ebd,null,null,null,au,passive
291,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
292,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
293,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
294,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
295,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
296,ٱصْبِرُوا@,{SobiruwA@,,وا@,|Sbr|wA@,{oi,null,null,null,au,tidak passive
297,ٱفْتَحْ,{fotaHo,,,|ftH|,{oa,null,null,null,au,tidak passive
298,سَحَرُ,saHaru,,,|aau|,sHr,null,null,null,au,passive
299,تَنقِمُ,tanqimu,تَ,,ta|null|,null,null,null,null,au,tidak passive
300,ٱصْبِرُ,{Sobiru,,,|Sbr|,{oi,null,null,null,au,tidak passive
