No,Arab,Buckwalter,Awalan,Akhiran,Pola,Root,Wazan,Dhomir,Fiil,Pola Wazan,Keterangan
75,هَزَمُ,hazamu,,,|aau|,hzm,null,null,null,au,passive
76,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
77,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
78,نَجْعَلَ,najoEala,نَ,,na|oaa|,jEl,null,null,null,au,passive
79,ٱجْعَلْ,{joEalo,,,|jEl|,{oa,null,null,null,au,tidak passive
80,ٱعْلَمْ,{Eolamo,,,|Elm|,{oa,null,null,null,au,tidak passive
81,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
82,نَذَرْ,na*aro,,,|aao|,n*r,null,null,null,au,passive
83,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
84,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
85,تُرْجَعُونَ,turojaEuwna,,ونَ,|uoa|wna,trj,null,null,null,au,passive
86,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
87,ٱكْتُبُ,{kotubu,,,|ktb|,{ou,null,null,null,au,tidak passive
88,يَكْتُب,yakotub,يَ,,ya|null|,null,null,null,null,au,tidak passive
89,يَكْتُمْ,yakotumo,,تُمْ,|null|tumo,null,null,null,null,au,tidak passive
90,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
91,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
92,تُغْلَبُونَ,tugolabuwna,,ونَ,|uoa|wna,tgl,null,null,null,au,passive
93,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
94,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
95,جَمَعْ,jamaEo,,,|aao|,jmE,null,null,null,au,passive
96,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
97,تَنزِعُ,tanziEu,تَ,,ta|null|,null,null,null,null,au,tidak passive
98,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
99,ٱذْكُر,{*okur,,,|*kr|,{ou,null,null,null,au,tidak passive
100,ٱسْجُدِ,{sojudi,,,|sjd|,{ou,null,null,null,au,tidak passive
101,أَنفُخُ,>anfuxu,أَ,,>a|null|,null,null,null,null,au,tidak passive
102,ٱعْبُدُ,{Eobudu,,,|Ebd|,{ou,null,null,null,au,tidak passive
103,ٱشْهَدْ,{$ohado,,,|$hd|,{oa,null,null,null,au,tidak passive
104,ٱكْتُبْنَا,{kotubonaA,,نَا,|ktb|naA,{ou,null,null,null,au,tidak passive
105,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
106,نَجْعَل,najoEal,نَ,,na|null|,null,null,null,null,au,tidak passive
107,نَعْبُدَ,naEobuda,نَ,,na|oua|,Ebd,null,null,null,au,passive
108,ٱشْهَدُوا@,{$ohaduwA@,,وا@,|$hd|wA@,{oa,null,null,null,au,tidak passive
109,ٱكْفُرُ,{kofuru,,,|kfr|,{ou,null,null,null,au,tidak passive
110,تَنصُرُ,tanSuru,تَ,,ta|null|,null,null,null,null,au,tidak passive
111,ٱشْهَدُوا@,{$ohaduwA@,,وا@,|$hd|wA@,{oa,null,null,null,au,tidak passive
112,يُرْجَعُونَ,yurojaEuwna,,ونَ,|uoa|wna,yrj,null,null,null,au,passive
113,شَهِدُ,$ahidu,,,|aiu|,$hd,null,null,null,au,passive
114,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
115,كَفَرْ,kafaro,,,|aao|,kfr,null,null,null,au,passive
116,يُنصَرُونَ,yunSaruwna,,ونَ,|uSr|wna,yna,null,null,null,au,passive
117,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
118,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
119,يَكْبِتَ,yakobita,,تَ,|aoi|ta,ykb,null,null,null,au,passive
120,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
121,نِعْمَ,niEoma,,,|ioa|,nEm,null,null,null,au,passive
122,يَعْلَمِ,yaEolami,يَ,,ya|oai|,Elm,null,null,null,au,passive
123,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
124,ٱنصُرْنَا,{nSuronaA,,نَا,|nuo|naA,{Sr,null,null,null,au,tidak passive
125,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
126,يَنصُرْ,yanSuro,يَ,,ya|null|,null,null,null,null,au,tidak passive
127,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
128,ٱدْفَعُوا@,{dofaEuwA@,,وا@,|dfE|wA@,{oa,null,null,null,au,tidak passive
129,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
130,يُرْزَقُونَ,yurozaquwna,,ونَ,|uoa|wna,yrz,null,null,null,au,passive
131,نِعْمَ,niEoma,,,|ioa|,nEm,null,null,null,au,passive
132,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
133,قَتَلْ,qatalo,,,|aao|,qtl,null,null,null,au,passive
134,نَبَذُ,naba*u,,,|aau|,nb*,null,null,null,au,passive
135,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
136,تَحْسَبَ,taHosaba,تَ,,ta|oaa|,Hsb,null,null,null,au,passive
137,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
138,ٱصْبِرُوا@,{SobiruwA@,,وا@,|Sbr|wA@,{oi,null,null,null,au,tidak passive
139,ٱنكِحُوا@,{nkiHuwA@,,وا@,|niu|wA@,{kH,null,null,null,au,tidak passive
140,ٱرْزُقُ,{rozuqu,,,|rzq|,{ou,null,null,null,au,tidak passive
141,ٱدْفَعُ,{dofaEu,,,|dfE|,{oa,null,null,null,au,tidak passive
142,ٱرْزُقُ,{rozuqu,,,|rzq|,{ou,null,null,null,au,tidak passive
143,تَرَكُوا@,tarakuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
144,تَرَكْتُمْ,tarakotumo,تَ,تُمْ,ta|null|tumo,null,null,null,null,au,tidak passive
145,تَرَكْ,tarako,,,|aao|,trk,null,null,null,au,passive
146,كَرِهْ,kariho,,,|aio|,krh,null,null,null,au,passive
147,تَنكِحُوا@,tankiHuwA@,تَ,وا@,ta|null|wA@,null,null,null,null,au,tidak passive
148,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
149,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
150,ٱنكِحُ,{nkiHu,,,|niu|,{kH,null,null,null,au,tidak passive
151,ٱضْرِبُ,{Doribu,,,|Drb|,{oi,null,null,null,au,tidak passive
152,ٱبْعَثُوا@,{boEavuwA@,,وا@,|bEv|wA@,{oa,null,null,null,au,tidak passive
153,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
154,لَٰمَسْ,la`maso,,,|ams|,l`a,null,null,null,au,passive
155,ٱسْمَعْ,{somaEo,,,|smE|,{oa,null,null,null,au,tidak passive
156,ٱسْمَعْ,{somaEo,,,|smE|,{oa,null,null,null,au,tidak passive
157,نَلْعَنَ,naloEana,,نَ,|null|na,null,null,null,null,au,tidak passive
158,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
159,يَلْعَنِ,yaloEani,يَ,,ya|oai|,lEn,null,null,null,au,passive
160,حَكَمْ,Hakamo,,,|aao|,Hkm,null,null,null,au,passive
161,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
162,ٱخْرُجُوا@,{xorujuwA@,,وا@,|xrj|wA@,{ou,null,null,null,au,tidak passive
163,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
164,ٱنفِرُوا@,{nfiruwA@,,وا@,|niu|wA@,{fr,null,null,null,au,tidak passive
165,ٱنفِرُوا@,{nfiruwA@,,وا@,|niu|wA@,{fr,null,null,null,au,tidak passive
166,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
167,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
168,تُظْلَمُونَ,tuZolamuwna,,ونَ,|uoa|wna,tZl,null,null,null,au,passive
169,كَسَبُ,kasabu,,,|aau|,ksb,null,null,null,au,passive
170,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
171,ٱقْتُلُ,{qotulu,,,|qtl|,{ou,null,null,null,au,tidak passive
172,ثَقِفْ,vaqifo,,,|aio|,vqf,null,null,null,au,passive
173,يَفْتِنَ,yafotina,,نَ,|aoi|na,yft,null,null,null,au,passive
174,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
175,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
176,تَحْكُمَ,taHokuma,تَ,,ta|oua|,Hkm,null,null,null,au,passive
177,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
178,تَنكِحُ,tankiHu,تَ,,ta|null|,null,null,null,null,au,tidak passive
179,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
180,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
181,صَلَبُ,Salabu,,,|aau|,Slb,null,null,null,au,passive
182,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
183,قَصَصْ,qaSaSo,,,|aao|,qSS,null,null,null,au,passive
184,نَقْصُصْ,naqoSuSo,نَ,,na|ouo|,qSS,null,null,null,au,passive
185,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
186,لَٰمَسْ,la`maso,,,|ams|,l`a,null,null,null,au,passive
187,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
188,ٱعْدِلُوا@,{EodiluwA@,,وا@,|Edl|wA@,{oi,null,null,null,au,tidak passive
189,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
190,ٱذْكُرُوا@,{*okuruwA@,,وا@,|*kr|wA@,{ou,null,null,null,au,tidak passive
191,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
192,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
193,دَخَلْ,daxalo,,,|aao|,dxl,null,null,null,au,passive
194,ٱذْهَبْ,{*ohabo,,,|*hb|,{oa,null,null,null,au,tidak passive
195,ٱفْرُقْ,{foruqo,,,|frq|,{ou,null,null,null,au,tidak passive
196,أَقْتُلَ,>aqotula,أَ,,>a|oua|,qtl,null,null,null,au,passive
197,تَقْتُلَ,taqotula,تَ,,ta|oua|,qtl,null,null,null,au,passive
198,أَقْتُلَ,>aqotula,أَ,,>a|oua|,qtl,null,null,null,au,passive
199,أُوَٰرِىَ,>uwa`riYa,,,|uar|,>w`,null,null,null,au,passive
200,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
201,ٱقْطَعُ,{qoTaEu,,,|qTE|,{oa,null,null,null,au,tidak passive
202,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
203,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
204,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
205,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
206,يَحْكُم,yaHokum,يَ,,ya|null|,null,null,null,null,au,tidak passive
207,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
208,ٱحْكُم,{Hokum,,,|Hkm|,{ou,null,null,null,au,tidak passive
209,ٱعْلَمْ,{Eolamo,,,|Elm|,{oa,null,null,null,au,tidak passive
210,تَنقِمُونَ,tanqimuwna,تَ,ونَ,ta|null|wna,null,null,null,null,au,tidak passive
211,حَسِبُ,Hasibu,,,|aiu|,Hsb,null,null,null,au,passive
212,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
213,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
214,ٱكْتُبْنَا,{kotubonaA,,نَا,|ktb|naA,{ou,null,null,null,au,tidak passive
215,ٱحْفَظُ,{HofaZu,,,|HfZ|,{oa,null,null,null,au,tidak passive
216,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
217,طَعِمُ,TaEimu,,,|aiu|,TEm,null,null,null,au,passive
218,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
219,ٱعْلَمُ,{Eolamu,,,|Elm|,{oa,null,null,null,au,tidak passive
220,ٱسْمَعُوا@,{somaEuwA@,,وا@,|smE|wA@,{oa,null,null,null,au,tidak passive
221,ٱذْكُرْ,{*okuro,,,|*kr|,{ou,null,null,null,au,tidak passive
222,تَنفُخُ,tanfuxu,تَ,,ta|null|,null,null,null,null,au,tidak passive
223,ٱشْهَدْ,{$ohado,,,|$hd|,{oa,null,null,null,au,tidak passive
224,نَعْلَمَ,naEolama,نَ,,na|oaa|,Elm,null,null,null,au,passive
225,ٱرْزُقْنَا,{rozuqonaA,,نَا,|rzq|naA,{ou,null,null,null,au,tidak passive
226,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
227,لَمَسُ,lamasu,,,|aau|,lms,null,null,null,au,passive
228,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
229,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
230,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
231,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
232,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
233,كَفَرُ,kafaru,,,|aau|,kfr,null,null,null,au,passive
234,يُرْجَعُونَ,yurojaEuwna,,ونَ,|uoa|wna,yrj,null,null,null,au,passive
235,يُحْشَرُونَ,yuHo$aruwna,,ونَ,|uoa|wna,yH$,null,null,null,au,passive
236,تَطْرُدِ,taTorudi,تَ,,ta|oui|,Trd,null,null,null,au,passive
237,تَطْرُدَ,taToruda,تَ,,ta|oua|,Trd,null,null,null,au,passive
238,أَعْبُدَ,>aEobuda,أَ,,>a|oua|,Ebd,null,null,null,au,passive
239,جَرَحْ,jaraHo,,,|aao|,jrH,null,null,null,au,passive
240,يَنْفَعُنَا,yanofaEunaA,يَ,نَا,ya|oau|naA,nfE,null,null,null,au,passive
241,تُحْشَرُونَ,tuHo$aruwna,,ونَ,|uoa|wna,tH$,null,null,null,au,passive
242,خَلَقْ,xalaqo,,,|aao|,xlq,null,null,null,au,passive
243,تَرَكْ,tarako,,,|aao|,trk,null,null,null,au,passive
244,ٱعْبُدُ,{Eobudu,,,|Ebd|,{ou,null,null,null,au,tidak passive
245,جَعَلْ,jaEalo,,,|aao|,jEl,null,null,null,au,passive
246,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
247,بَلَغْ,balago,,,|aao|,blg,null,null,null,au,passive
248,ٱعْمَلُوا@,{EomaluwA@,,وا@,|Eml|wA@,{oa,null,null,null,au,tidak passive
249,فَعَلُ,faEalu,,,|aau|,fEl,null,null,null,au,passive
250,قَتَلُ,qatalu,,,|aau|,qtl,null,null,null,au,passive
251,هُمَا^,humaA^,,,|ua^|,hmA,null,null,null,au,passive
252,ٱعْدِلُوا@,{EodiluwA@,,وا@,|Edl|wA@,{oi,null,null,null,au,tidak passive
253,يُظْلَمُونَ,yuZolamuwna,,ونَ,|uoa|wna,yZl,null,null,null,au,passive
254,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
255,خَلَقْ,xalaqo,,,|aao|,xlq,null,null,null,au,passive
256,ٱسْجُدُوا@,{sojuduwA@,,وا@,|sjd|wA@,{ou,null,null,null,au,tidak passive
257,سَجَدُ,sajadu,,,|aau|,sjd,null,null,null,au,passive
258,تَسْجُدَ,tasojuda,تَ,,ta|oua|,sjd,null,null,null,au,passive
259,ٱخْرُجْ,{xorujo,,,|xrj|,{ou,null,null,null,au,tidak passive
260,يُبْعَثُونَ,yuboEavuwna,,ونَ,|uoa|wna,ybE,null,null,null,au,passive
261,أَقْعُدَ,>aqoEuda,أَ,,>a|oua|,qEd,null,null,null,au,passive
262,ٱخْرُجْ,{xorujo,,,|xrj|,{ou,null,null,null,au,tidak passive
263,ٱسْكُنْ,{sokuno,,,|skn|,{ou,null,null,null,au,tidak passive
264,ظَلَمْ,Zalamo,,,|aao|,Zlm,null,null,null,au,passive
265,يُوَٰرِى,yuwa`riY,,,|uar|,yw`,null,null,null,au,passive
266,يَفْتِنَ,yafotina,,نَ,|aoi|na,yft,null,null,null,au,passive
267,ٱشْرَبُوا@,{$orabuwA@,,وا@,|$rb|wA@,{oa,null,null,null,au,tidak passive
268,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
269,تَجْعَلْنَا,tajoEalonaA,تَ,نَا,ta|oao|naA,jEl,null,null,null,au,passive
270,ٱدْخُلُوا@,{doxuluwA@,,وا@,|dxl|wA@,{ou,null,null,null,au,tidak passive
271,نَعْمَلَ,naEomala,نَ,,na|oaa|,Eml,null,null,null,au,passive
272,خَسِرُ,xasiru,,,|aiu|,xsr,null,null,null,au,passive
273,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
274,أَنصَحُ,>anSaHu,أَ,,>a|null|,null,null,null,null,au,tidak passive
275,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
276,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
277,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
278,نَعْبُدَ,naEobuda,نَ,,na|oua|,Ebd,null,null,null,au,passive
279,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
280,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
281,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
282,ٱعْبُدُوا@,{EobuduwA@,,وا@,|Ebd|wA@,{ou,null,null,null,au,tidak passive
283,ٱذْكُرُ,{*okuru,,,|*kr|,{ou,null,null,null,au,tidak passive
284,ٱصْبِرُوا@,{SobiruwA@,,وا@,|Sbr|wA@,{oi,null,null,null,au,tidak passive
285,ٱفْتَحْ,{fotaHo,,,|ftH|,{oa,null,null,null,au,tidak passive
286,سَحَرُ,saHaru,,,|aau|,sHr,null,null,null,au,passive
287,تَنقِمُ,tanqimu,تَ,,ta|null|,null,null,null,null,au,tidak passive
288,ٱصْبِرُ,{Sobiru,,,|Sbr|,{oi,null,null,null,au,tidak passive
289,تَسْحَرَنَا,tasoHaranaA,تَ,نَا,ta|oaa|naA,sHr,null,null,null,au,passive
290,ٱجْعَل,{joEal,,,|jEl|,{oa,null,null,null,au,tidak passive
291,ٱخْلُفْ,{xolufo,,,|xlf|,{ou,null,null,null,au,tidak passive
292,خَلَفْ,xalafo,,,|aao|,xlf,null,null,null,au,passive
293,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
294,ٱغْفِرْ,{gofiro,,,|gfr|,{oi,null,null,null,au,tidak passive
295,ٱكْتُبْ,{kotubo,,,|ktb|,{ou,null,null,null,au,tidak passive
296,نَصَرُ,naSaru,,,|aau|,nSr,null,null,null,au,passive
297,ٱضْرِب,{Dorib,,,|Drb|,{oi,null,null,null,au,tidak passive
298,رَزَقْ,razaqo,,,|aao|,rzq,null,null,null,au,passive
299,ظَلَمُ,Zalamu,,,|aau|,Zlm,null,null,null,au,passive
